# Filter transmission curve produced by Materion. ,
#Truncated at T<1% due to measurement noise. ,
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. ,
lambda_nm,%T
973.0,0.0000
974.0,0.0001
975.0,0.0001
976.0,0.0000
977.0,0.0000
978.0,0.0000
979.0,0.0000
980.0,0.0001
981.0,0.0000
982.0,0.0000
983.0,0.0000
984.0,0.0001
985.0,0.0000
986.0,0.0001
987.0,0.0010
988.0,0.0052
989.0,0.0131
990.0,0.0199
991.0,0.0184
992.0,0.0084
993.0,0.0011
994.0,0.0001
995.0,0.0000
996.0,0.0001
997.0,0.0001
998.0,0.0001
999.0,0.0000
