# # wavelength, f_lambda
1.379999999999999818e+04,1.717462569197648032e-15
1.389999999999999818e+04,1.477472069290409703e-15
1.400000000000000000e+04,1.473265793600000213e-15
1.410000000000000000e+04,2.025759207671646026e-15
1.420000000000000000e+04,2.561111327865503392e-15
1.430000000000000000e+04,3.060671497709423066e-15
1.440000000000000000e+04,3.549192250888310215e-15
1.450000000000000000e+04,4.030408379466349251e-15
1.460000000000000000e+04,4.497590079931506133e-15
1.470000000000000000e+04,4.903033577758340966e-15
1.480000000000000000e+04,5.347101784671292042e-15
1.490000000000000000e+04,6.032443798132516138e-15
1.500000000000000000e+04,6.849125116014221327e-15
1.510000000000000000e+04,7.439654686642690078e-15
1.520000000000000000e+04,7.933392867953600538e-15
1.530000000000000000e+04,8.412989085794352589e-15
1.540000000000000000e+04,8.221412499327038496e-15
1.550000000000000000e+04,8.110056700434546091e-15
1.560000000000000000e+04,8.834244140595823287e-15
1.570000000000000000e+04,9.661371128113919600e-15
1.580000000000000000e+04,9.025957836596700262e-15
1.590000000000000000e+04,8.016047852491595236e-15
1.600000000000000000e+04,6.577868111664061925e-15
1.610000000000000182e+04,4.540547088701051895e-15
1.620000000000000182e+04,3.750946940591372437e-15
1.629999999999999818e+04,3.322439281045580045e-15
1.640000000000000000e+04,2.688836059017697428e-15
1.650000000000000000e+04,2.360679784978511796e-15
1.660000000000000000e+04,2.274553969881695247e-15
1.670000000000000000e+04,2.113886724719423395e-15
1.680000000000000000e+04,1.930848675426587233e-15
1.690000000000000000e+04,1.904182269730752007e-15
1.700000000000000000e+04,1.871680041416609265e-15
1.710000000000000000e+04,1.815302233626756582e-15
1.720000000000000000e+04,1.799119557643320660e-15
1.730000000000000000e+04,1.754740980067492980e-15
1.740000000000000000e+04,1.693734309053375419e-15
1.750000000000000000e+04,1.695087739666285718e-15
1.760000000000000000e+04,1.653716984067019660e-15
1.770000000000000000e+04,1.589056004835136511e-15
1.780000000000000000e+04,1.513628314173084063e-15
1.790000000000000000e+04,1.472062276993227359e-15
1.800000000000000000e+04,1.463153746405555518e-15
1.810000000000000000e+04,1.888927663391227575e-15
1.820000000000000000e+04,2.197126467337277828e-15
1.830000000000000000e+04,2.687112249331422617e-15
1.840000000000000000e+04,2.735818697533081068e-15
1.850000000000000000e+04,2.797070202733674280e-15
1.860000000000000000e+04,2.863608962616487335e-15
1.870000000000000000e+04,2.864012881239383356e-15
1.880000000000000000e+04,2.885536336776256225e-15
1.890000000000000000e+04,2.763015397742504638e-15
1.900000000000000000e+04,2.428651089808863669e-15
1.910000000000000000e+04,2.120020238338861710e-15
1.920000000000000000e+04,1.814905676319986883e-15
1.930000000000000000e+04,1.513248085939488014e-15
1.940000000000000000e+04,1.232035802924327655e-15
1.950000000000000000e+04,9.704524301175542556e-16
1.960000000000000000e+04,7.851447105211372066e-16
1.970000000000000000e+04,9.072798627148342847e-16
1.980000000000000000e+04,1.021178574668911154e-15
1.990000000000000000e+04,1.140166715471326391e-15
2.000000000000000000e+04,1.225476620189499934e-15
2.009999999999999636e+04,1.047244117658969358e-15
2.020000000000000000e+04,8.641699076061170911e-16
2.029999999999999636e+04,6.901723043621541993e-16
2.040000000000000000e+04,5.258038136634947834e-16
2.050000000000000000e+04,4.568401906084473409e-16
2.060000000000000000e+04,4.060013328603073345e-16
2.070000000000000000e+04,3.615084670554738833e-16
2.080000000000000000e+04,3.167417080061945240e-16
2.090000000000000000e+04,2.724699659485817446e-16
2.100000000000000000e+04,2.312684675999999910e-16
2.110000000000000000e+04,1.914399851966487635e-16
2.120000000000000000e+04,1.508834416153435684e-16
2.130000000000000000e+04,1.361221238025965054e-16
2.140000000000000000e+04,1.273901919966809320e-16
2.150000000000000000e+04,1.189441574844780838e-16
2.160000000000000000e+04,1.085282625090020642e-16
2.170000000000000000e+04,9.855353160695703204e-17
2.180000000000000000e+04,9.292026989184411544e-17
2.190000000000000000e+04,8.507277482496194704e-17
2.200000000000000000e+04,7.711603516735536961e-17
2.210000000000000000e+04,6.899259286091603185e-17
2.220000000000000364e+04,6.216782162080997785e-17
2.230000000000000000e+04,5.986324092461137722e-17
2.240000000000000364e+04,5.873245898716515993e-17
2.250000000000000000e+04,5.761937019930864378e-17
2.259999999999999636e+04,5.658233407314591034e-17
2.270000000000000000e+04,5.591037127403987053e-17
2.279999999999999636e+04,6.049597730878734590e-17
2.290000000000000000e+04,6.740056596594266821e-17
2.300000000000000000e+04,7.406970559659735137e-17
2.310000000000000000e+04,8.112672351567624850e-17
2.320000000000000000e+04,8.650001621469975388e-17
2.330000000000000000e+04,9.238571022380223425e-17
2.340000000000000000e+04,9.909861001168822105e-17
2.350000000000000000e+04,9.043987958859212007e-17
2.360000000000000000e+04,8.246230351479459300e-17
2.370000000000000000e+04,7.520297198134202612e-17
2.380000000000000000e+04,6.716274083786455312e-17
2.390000000000000000e+04,5.956906213651722218e-17
2.400000000000000000e+04,5.288005856388888843e-17
2.410000000000000000e+04,4.609332914274891447e-17
2.420000000000000000e+04,4.627627587459872332e-17
2.430000000000000000e+04,5.290246087757624707e-17
2.440000000000000000e+04,5.916691382524858786e-17
2.450000000000000000e+04,6.517770223906703681e-17
2.460000000000000000e+04,7.113853686430033485e-17
2.470000000000000364e+04,7.675520323165432940e-17
2.480000000000000000e+04,8.042689186069198591e-17
2.490000000000000364e+04,8.369877014854595612e-17
2.500000000000000000e+04,8.758736452927999548e-17
2.509999999999999636e+04,9.060250472722657978e-17
2.520000000000000000e+04,9.351991359567902856e-17
2.529999999999999636e+04,9.601376976675158491e-17
2.540000000000000000e+04,9.823319117924234511e-17
2.550000000000000000e+04,1.002766007151095550e-16
2.560000000000000000e+04,1.032915298712158133e-16
2.570000000000000000e+04,1.075728815667156253e-16
2.580000000000000000e+04,1.161986271317829470e-16
2.590000000000000000e+04,1.242859864489199567e-16
2.600000000000000000e+04,1.325118142757396551e-16
2.610000000000000000e+04,1.401240713248484329e-16
2.620000000000000000e+04,1.460005517006584663e-16
2.630000000000000000e+04,1.529106668918156864e-16
2.640000000000000000e+04,1.616907497735881525e-16
2.650000000000000000e+04,1.648271527715200841e-16
2.660000000000000000e+04,1.638020298812821516e-16
2.670000000000000000e+04,1.626614523340206819e-16
2.680000000000000000e+04,1.619507040877701190e-16
2.690000000000000000e+04,1.610388585351225065e-16
2.700000000000000000e+04,1.598070633454046443e-16
2.710000000000000000e+04,1.587114931310848014e-16
2.720000000000000364e+04,1.575871633274761948e-16
2.730000000000000000e+04,1.564347930553207393e-16
2.740000000000000364e+04,1.552950169377696760e-16
2.750000000000000000e+04,1.537712323414214867e-16
2.759999999999999636e+04,1.520292828783344196e-16
2.770000000000000000e+04,1.491753580320348257e-16
2.779999999999999636e+04,1.463972797075720916e-16
2.790000000000000000e+04,1.435010725078043675e-16
2.800000000000000000e+04,1.405277146875000050e-16
2.810000000000000000e+04,1.375929722004533827e-16
2.820000000000000000e+04,1.347716459622252115e-16
2.830000000000000000e+04,1.319118258427499160e-16
2.840000000000000000e+04,1.290888720782086949e-16
2.850000000000000000e+04,1.262284033684210269e-16
2.860000000000000000e+04,1.231848074891192751e-16
2.870000000000000000e+04,1.203624735769524847e-16
2.880000000000000000e+04,1.177931641374903594e-16
2.890000000000000000e+04,1.159384633014451322e-16
2.900000000000000000e+04,1.136074391969084420e-16
2.910000000000000000e+04,1.112348582369126377e-16
2.920000000000000000e+04,1.088568973972602712e-16
2.930000000000000000e+04,1.064738324781884473e-16
2.940000000000000000e+04,1.042593512827988130e-16
2.950000000000000000e+04,1.020723990869290372e-16
