# CVS spectrum collected post-FFT during II&T by Caleb Baker.  This is
# Band 4 + LOWFS (510-840nm, or 675 center and 330 width in Varia command)
#
# flux units are arbitrary spectrometer units; we are relying on the self-
# normalization of eetc spectra for magnitude conversion.
#
# wavelength (A), flux
2.49050E+03,1.0000E-15
2.49257E+03,1.0000E-15
2.49465E+03,1.0000E-15
2.49672E+03,1.0000E-15
2.49879E+03,1.0000E-15
2.50087E+03,1.0000E-15
2.50294E+03,1.0000E-15
2.50501E+03,1.0000E-15
2.50709E+03,1.0000E-15
2.50916E+03,1.0000E-15
2.51123E+03,1.0000E-15
2.51331E+03,1.0000E-15
2.51538E+03,1.0000E-15
2.51746E+03,1.0000E-15
2.51953E+03,1.0000E-15
2.52161E+03,1.0000E-15
2.52368E+03,1.0000E-15
2.52576E+03,1.0000E-15
2.52783E+03,1.0000E-15
2.52991E+03,1.0000E-15
2.53198E+03,1.0000E-15
2.53406E+03,1.0000E-15
2.53613E+03,1.0000E-15
2.53821E+03,1.0000E-15
2.54029E+03,1.0000E-15
2.54236E+03,1.0000E-15
2.54444E+03,1.0000E-15
2.54652E+03,1.0000E-15
2.54859E+03,1.0000E-15
2.55067E+03,1.0000E-15
2.55275E+03,1.0000E-15
2.55482E+03,1.0000E-15
2.55690E+03,1.0000E-15
2.55898E+03,1.0000E-15
2.56106E+03,1.0000E-15
2.56313E+03,1.0000E-15
2.56521E+03,1.0000E-15
2.56729E+03,1.0000E-15
2.56937E+03,1.0000E-15
2.57145E+03,1.0000E-15
2.57352E+03,1.0000E-15
2.57560E+03,1.0000E-15
2.57768E+03,1.0000E-15
2.57976E+03,1.0000E-15
2.58184E+03,1.0000E-15
2.58392E+03,1.0000E-15
2.58600E+03,1.0000E-15
2.58808E+03,1.0000E-15
2.59016E+03,1.0000E-15
2.59224E+03,1.0000E-15
2.59432E+03,1.0000E-15
2.59640E+03,1.0000E-15
2.59848E+03,1.0000E-15
2.60056E+03,1.0000E-15
2.60264E+03,1.0000E-15
2.60472E+03,1.0000E-15
2.60680E+03,1.0000E-15
2.60888E+03,1.0000E-15
2.61096E+03,1.0000E-15
2.61304E+03,1.0000E-15
2.61513E+03,1.0000E-15
2.61721E+03,1.0000E-15
2.61929E+03,1.0000E-15
2.62137E+03,1.0000E-15
2.62345E+03,1.0000E-15
2.62554E+03,1.0000E-15
2.62762E+03,1.0000E-15
2.62970E+03,1.0000E-15
2.63178E+03,1.0000E-15
2.63387E+03,1.0000E-15
2.63595E+03,1.0000E-15
2.63803E+03,1.0000E-15
2.64012E+03,1.0000E-15
2.64220E+03,1.0000E-15
2.64428E+03,1.0000E-15
2.64637E+03,1.0000E-15
2.64845E+03,1.0000E-15
2.65053E+03,1.0000E-15
2.65262E+03,1.0000E-15
2.65470E+03,1.0000E-15
2.65679E+03,1.0000E-15
2.65887E+03,1.0000E-15
2.66096E+03,1.0000E-15
2.66304E+03,1.0000E-15
2.66513E+03,1.0000E-15
2.66721E+03,1.0000E-15
2.66930E+03,1.0000E-15
2.67138E+03,1.0000E-15
2.67347E+03,1.0000E-15
2.67556E+03,1.0000E-15
2.67764E+03,1.0000E-15
2.67973E+03,1.0000E-15
2.68181E+03,1.0000E-15
2.68390E+03,1.0000E-15
2.68599E+03,1.0000E-15
2.68807E+03,1.0000E-15
2.69016E+03,1.0000E-15
2.69225E+03,1.0000E-15
2.69433E+03,1.0000E-15
2.69642E+03,1.0000E-15
2.69851E+03,1.0000E-15
2.70060E+03,1.0000E-15
2.70268E+03,1.0000E-15
2.70477E+03,1.0000E-15
2.70686E+03,1.0000E-15
2.70895E+03,1.0000E-15
2.71104E+03,1.0000E-15
2.71313E+03,1.0000E-15
2.71521E+03,1.0000E-15
2.71730E+03,1.0000E-15
2.71939E+03,1.0000E-15
2.72148E+03,1.0000E-15
2.72357E+03,1.0000E-15
2.72566E+03,1.0000E-15
2.72775E+03,1.0000E-15
2.72984E+03,1.0000E-15
2.73193E+03,1.0000E-15
2.73402E+03,1.0000E-15
2.73611E+03,1.0000E-15
2.73820E+03,1.0000E-15
2.74029E+03,1.0000E-15
2.74238E+03,1.0000E-15
2.74447E+03,1.0000E-15
2.74656E+03,1.0000E-15
2.74865E+03,1.0000E-15
2.75075E+03,1.0000E-15
2.75284E+03,1.0000E-15
2.75493E+03,1.0000E-15
2.75702E+03,1.0000E-15
2.75911E+03,1.0000E-15
2.76120E+03,1.0000E-15
2.76330E+03,1.0000E-15
2.76539E+03,1.0000E-15
2.76748E+03,1.0000E-15
2.76957E+03,1.0000E-15
2.77167E+03,1.0000E-15
2.77376E+03,1.0000E-15
2.77585E+03,1.0000E-15
2.77794E+03,1.0000E-15
2.78004E+03,1.0000E-15
2.78213E+03,1.0000E-15
2.78423E+03,1.0000E-15
2.78632E+03,1.0000E-15
2.78841E+03,1.0000E-15
2.79051E+03,1.0000E-15
2.79260E+03,1.0000E-15
2.79470E+03,1.0000E-15
2.79679E+03,1.0000E-15
2.79888E+03,1.0000E-15
2.80098E+03,1.0000E-15
2.80307E+03,1.0000E-15
2.80517E+03,1.0000E-15
2.80726E+03,1.0000E-15
2.80936E+03,1.0000E-15
2.81146E+03,1.0000E-15
2.81355E+03,1.0000E-15
2.81565E+03,1.0000E-15
2.81774E+03,1.0000E-15
2.81984E+03,1.0000E-15
2.82194E+03,1.0000E-15
2.82403E+03,1.0000E-15
2.82613E+03,1.0000E-15
2.82823E+03,1.0000E-15
2.83032E+03,1.0000E-15
2.83242E+03,1.0000E-15
2.83452E+03,1.0000E-15
2.83661E+03,1.0000E-15
2.83871E+03,1.0000E-15
2.84081E+03,1.0000E-15
2.84291E+03,1.0000E-15
2.84500E+03,1.0000E-15
2.84710E+03,1.0000E-15
2.84920E+03,1.0000E-15
2.85130E+03,1.0000E-15
2.85340E+03,1.0000E-15
2.85550E+03,1.0000E-15
2.85759E+03,1.0000E-15
2.85969E+03,1.0000E-15
2.86179E+03,1.0000E-15
2.86389E+03,1.0000E-15
2.86599E+03,1.0000E-15
2.86809E+03,1.0000E-15
2.87019E+03,1.0000E-15
2.87229E+03,1.0000E-15
2.87439E+03,1.0000E-15
2.87649E+03,1.0000E-15
2.87859E+03,1.0000E-15
2.88069E+03,1.0000E-15
2.88279E+03,1.0000E-15
2.88489E+03,1.0000E-15
2.88699E+03,1.0000E-15
2.88909E+03,1.0000E-15
2.89119E+03,1.0000E-15
2.89330E+03,1.0000E-15
2.89540E+03,1.0000E-15
2.89750E+03,1.0000E-15
2.89960E+03,1.0000E-15
2.90170E+03,1.0000E-15
2.90380E+03,1.0000E-15
2.90591E+03,1.0000E-15
2.90801E+03,1.0000E-15
2.91011E+03,1.0000E-15
2.91221E+03,1.0000E-15
2.91432E+03,1.0000E-15
2.91642E+03,1.0000E-15
2.91852E+03,1.0000E-15
2.92063E+03,1.0000E-15
2.92273E+03,1.0000E-15
2.92483E+03,1.0000E-15
2.92694E+03,1.0000E-15
2.92904E+03,1.0000E-15
2.93114E+03,1.0000E-15
2.93325E+03,1.0000E-15
2.93535E+03,1.0000E-15
2.93746E+03,1.0000E-15
2.93956E+03,1.0000E-15
2.94167E+03,1.0000E-15
2.94377E+03,1.0000E-15
2.94588E+03,1.0000E-15
2.94798E+03,1.0000E-15
2.95009E+03,1.0000E-15
2.95219E+03,1.0000E-15
2.95430E+03,1.0000E-15
2.95640E+03,1.0000E-15
2.95851E+03,1.0000E-15
2.96061E+03,1.0000E-15
2.96272E+03,1.0000E-15
2.96483E+03,1.0000E-15
2.96693E+03,1.0000E-15
2.96904E+03,1.0000E-15
2.97115E+03,1.0000E-15
2.97325E+03,1.0000E-15
2.97536E+03,1.0000E-15
2.97747E+03,1.0000E-15
2.97957E+03,1.0000E-15
2.98168E+03,1.0000E-15
2.98379E+03,1.0000E-15
2.98590E+03,1.0000E-15
2.98801E+03,1.0000E-15
2.99011E+03,1.0000E-15
2.99222E+03,1.0000E-15
2.99433E+03,1.0000E-15
2.99644E+03,1.0000E-15
2.99855E+03,1.0000E-15
3.00066E+03,1.0000E-15
3.00276E+03,1.0000E-15
3.00487E+03,1.0000E-15
3.00698E+03,1.0000E-15
3.00909E+03,1.0000E-15
3.01120E+03,1.0000E-15
3.01331E+03,1.0000E-15
3.01542E+03,1.0000E-15
3.01753E+03,1.0000E-15
3.01964E+03,1.0000E-15
3.02175E+03,1.0000E-15
3.02386E+03,1.0000E-15
3.02597E+03,1.0000E-15
3.02808E+03,1.0000E-15
3.03019E+03,1.0000E-15
3.03230E+03,1.0000E-15
3.03441E+03,1.0000E-15
3.03653E+03,1.0000E-15
3.03864E+03,1.0000E-15
3.04075E+03,1.0000E-15
3.04286E+03,1.0000E-15
3.04497E+03,1.0000E-15
3.04708E+03,1.0000E-15
3.04920E+03,1.0000E-15
3.05131E+03,1.0000E-15
3.05342E+03,1.0000E-15
3.05553E+03,1.0000E-15
3.05765E+03,1.0000E-15
3.05976E+03,1.0000E-15
3.06187E+03,1.0000E-15
3.06398E+03,1.0000E-15
3.06610E+03,1.0000E-15
