# # wavelength, f_lambda
1.700000000000000000e+04,9.184645062740485394e-16
1.710000000000000000e+04,8.908370669819773598e-16
1.720000000000000000e+04,8.829406728481611800e-16
1.730000000000000000e+04,8.611432929352802591e-16
1.740000000000000000e+04,8.311725103884265273e-16
1.750000000000000000e+04,8.318812434560000143e-16
1.760000000000000000e+04,8.115185176685176415e-16
1.770000000000000000e+04,7.797914840058730744e-16
1.780000000000000000e+04,7.427631597336194087e-16
1.790000000000000000e+04,7.224173927836210237e-16
1.800000000000000000e+04,7.180214426172840102e-16
1.810000000000000000e+04,9.269856230090656495e-16
1.820000000000000000e+04,1.078199357612003423e-15
1.830000000000000000e+04,1.318714413329152843e-15
1.840000000000000000e+04,1.342584253366020810e-15
1.850000000000000000e+04,1.372607104999269674e-15
1.860000000000000000e+04,1.405287978779627616e-15
1.870000000000000000e+04,1.405472720538762654e-15
1.880000000000000000e+04,1.416007043303531202e-15
1.890000000000000000e+04,1.355910235281206958e-15
1.900000000000000000e+04,1.191861871804986191e-15
1.910000000000000000e+04,1.040369649483292603e-15
1.920000000000000000e+04,8.906594509592012788e-16
1.930000000000000000e+04,7.426199387811753261e-16
1.940000000000000000e+04,6.045872983898395605e-16
1.950000000000000000e+04,4.761989339434582978e-16
1.960000000000000000e+04,3.852757614395044017e-16
1.970000000000000000e+04,4.452585039325929346e-16
1.980000000000000000e+04,5.011070240980511655e-16
1.990000000000000000e+04,5.595227537380368903e-16
2.000000000000000000e+04,6.013836707480000323e-16
2.009999999999999636e+04,5.139384084819684498e-16
2.020000000000000000e+04,4.240765776825801360e-16
2.029999999999999636e+04,3.387205912417191809e-16
2.040000000000000000e+04,2.580393561505190347e-16
2.050000000000000000e+04,2.242112303376561571e-16
2.060000000000000000e+04,1.992211168724667527e-16
2.070000000000000000e+04,1.774309023519801770e-16
2.080000000000000000e+04,1.554258698442122946e-16
2.090000000000000000e+04,1.336955903445433952e-16
2.100000000000000000e+04,1.135268491746031922e-16
2.110000000000000000e+04,9.393555376339255650e-17
2.120000000000000000e+04,7.404094615076540840e-17
2.130000000000000000e+04,6.680556658467234526e-17
2.140000000000000000e+04,6.251676945366408102e-17
2.150000000000000000e+04,5.836954293131421951e-17
2.160000000000000000e+04,5.326816436942728785e-17
2.170000000000000000e+04,4.838545479411328256e-17
2.180000000000000000e+04,4.560852351106809339e-17
2.190000000000000000e+04,4.175504304414003005e-17
2.200000000000000000e+04,3.784570079297520196e-17
2.210000000000000000e+04,3.382110201633872842e-17
2.220000000000000364e+04,3.047561509982955120e-17
2.230000000000000000e+04,2.935891070522230673e-17
2.240000000000000364e+04,2.879862180245534902e-17
2.250000000000000000e+04,2.830632986153086256e-17
2.259999999999999636e+04,2.776290873091080521e-17
2.270000000000000000e+04,2.746066102117254248e-17
2.279999999999999636e+04,2.970012232032934547e-17
2.290000000000000000e+04,3.304285591884212714e-17
2.300000000000000000e+04,3.632645852136105396e-17
2.310000000000000000e+04,3.983299651843106328e-17
2.320000000000000000e+04,4.244237756316884682e-17
2.330000000000000000e+04,4.533692055812411377e-17
2.340000000000000000e+04,4.861854458031996350e-17
2.350000000000000000e+04,4.440565516414667922e-17
2.360000000000000000e+04,4.047757979316288776e-17
2.370000000000000000e+04,3.688094651462550157e-17
2.380000000000000000e+04,3.297272461937715732e-17
2.390000000000000000e+04,2.923345163880184109e-17
2.400000000000000000e+04,2.591955626458333311e-17
2.410000000000000000e+04,2.260792627606274056e-17
2.420000000000000000e+04,2.272861337203743015e-17
2.430000000000000000e+04,2.594352927873460269e-17
2.440000000000000000e+04,2.905473129971782036e-17
2.450000000000000000e+04,3.196454362682215635e-17
2.460000000000000000e+04,3.492525660816973879e-17
2.470000000000000364e+04,3.768965485190707701e-17
2.480000000000000000e+04,3.948229236797606906e-17
2.490000000000000364e+04,4.105156317511007030e-17
2.500000000000000000e+04,4.297824677888000336e-17
2.509999999999999636e+04,4.444471607942732035e-17
2.520000000000000000e+04,4.588660071428570584e-17
2.529999999999999636e+04,4.711700116358638253e-17
2.540000000000000000e+04,4.818723711110422459e-17
2.550000000000000000e+04,4.919316458069972864e-17
2.560000000000000000e+04,5.068512626098632401e-17
2.570000000000000000e+04,5.278787395024905384e-17
2.580000000000000000e+04,5.701839610420046489e-17
2.590000000000000000e+04,6.100336983199413834e-17
2.600000000000000000e+04,6.501416322899407637e-17
2.610000000000000000e+04,6.878577998766899479e-17
2.620000000000000000e+04,7.162456021210884440e-17
2.630000000000000000e+04,7.502504659572928683e-17
2.640000000000000000e+04,7.936138157283058420e-17
2.650000000000000000e+04,8.089807161409753822e-17
2.660000000000000000e+04,8.037569857340719708e-17
2.670000000000000000e+04,7.981681399430486312e-17
2.680000000000000000e+04,7.947271664513254289e-17
2.690000000000000000e+04,7.900723005569298259e-17
2.700000000000000000e+04,7.842307508998627688e-17
2.710000000000000000e+04,7.788619570321754486e-17
2.720000000000000364e+04,7.735507708720802103e-17
2.730000000000000000e+04,7.674918620456465718e-17
2.740000000000000364e+04,7.618999545314080912e-17
2.750000000000000000e+04,7.547832595464464831e-17
2.759999999999999636e+04,7.461753050409578163e-17
2.770000000000000000e+04,7.322017311472846695e-17
2.779999999999999636e+04,7.184095442989494510e-17
2.790000000000000000e+04,7.040256590023252377e-17
2.800000000000000000e+04,6.898285640714285957e-17
2.810000000000000000e+04,6.750560280695534503e-17
2.820000000000000000e+04,6.612292783713091762e-17
2.830000000000000000e+04,6.472064326961255339e-17
2.840000000000000000e+04,6.333643478873238584e-17
2.850000000000000000e+04,6.193311720824868943e-17
2.860000000000000000e+04,6.043788977969582546e-17
2.870000000000000000e+04,5.907115047335770583e-17
2.880000000000000000e+04,5.779419130280671439e-17
2.890000000000000000e+04,5.689240381820141043e-17
2.900000000000000000e+04,5.575212893127230306e-17
2.910000000000000000e+04,5.459075474262231794e-17
2.920000000000000000e+04,5.340879429794519757e-17
2.930000000000000000e+04,5.224167051078054660e-17
2.940000000000000000e+04,5.115853065273727544e-17
2.950000000000000000e+04,5.008885193128411113e-17
2.960000000000000000e+04,4.882713631825238188e-17
2.970000000000000364e+04,4.758124921493270625e-17
2.980000000000000000e+04,4.638471659970271369e-17
2.990000000000000364e+04,4.523663335331818631e-17
3.000000000000000000e+04,4.406949132599999938e-17
3.009999999999999636e+04,4.294992444719153493e-17
3.020000000000000000e+04,4.184419532410859553e-17
3.029999999999999636e+04,4.052352605714037367e-17
3.040000000000000000e+04,3.941393659864092496e-17
3.050000000000000000e+04,3.851136654770222946e-17
3.060000000000000000e+04,3.765175046007945557e-17
3.070000000000000000e+04,3.664345633545183158e-17
3.080000000000000000e+04,3.564744187721369979e-17
3.090000000000000000e+04,3.469493051916088897e-17
